Chemical Reaction,Stoichiometric Coefficient (Toluene),Stoichiometric Coefficient (Nitric Acid),Concentration of Toluene (mol/ml),Concentration of Nitric Acid (mol/ml),Process Temperature (Tp) (K),Maximum Temperature of Thermal Runaway (MTT) (K),Degree of Accumulation (xr),Reaction Order (Toluene),Reaction Order (Nitric Acid),Activation Energy (Ea) (kJ/mol),Arrhenius Factor (A),Td24 (K),Thermal Inertia Factor (Φ),ITHI Value (With Inertia),ITHI Value (Without Inertia)
C7H8 + HNO3 -> C7H7NO2 + H2O,1,1,0.5440118527681909,0.8938557316018819,362.90932948253794,1439.7719132313773,0.9438094451015756,1,1,181.1107849241286,1193856585587.6472,1059.657619407291,1.476297126164667,0.0004777270435334,0.0003235981667014
C7H8 + HNO3 -> C7H7NO2 + H2O,1,1,1.035974378586452,0.997333832224722,535.2913363382019,1289.938285186324,0.6241739093199495,1,1,80.00545435450128,44312592436478.14,899.4200038618505,1.2267329146704402,9.989981655615897e-05,8.143566978717358e-05
C7H8 + HNO3 -> C7H7NO2 + H2O,1,1,1.664130082568349,0.6113919178450705,574.7161822035868,728.8788641328276,0.1413266379338955,1,1,148.5609704588825,39616737313017.74,742.7520913105628,0.1578483063066198,1.665296275024911e-05,0.0001054997873585
C7H8 + HNO3 -> C7H7NO2 + H2O,1,1,1.1017847849062865,0.2735225242941315,336.61479745677997,1297.9021830495574,0.7225165235094306,1,1,66.43103518000409,10269156299105.584,611.4536320143549,1.608364540226145,6.017486221724157e-05,3.7413696156706265e-05
C7H8 + HNO3 -> C7H7NO2 + H2O,1,1,0.8643598883450054,0.6999922285357699,465.9569834518901,954.4390526378394,0.6801182595172134,1,1,143.0809766748869,47998487377696.11,616.8818392568236,0.6633542126184117,4.1825017286604026e-05,6.30508052726628e-05
C7H8 + HNO3 -> C7H7NO2 + H2O,1,1,1.4637450351508383,0.6140162038545792,470.0664001209787,1187.0427021225903,0.0491251350164191,1,1,72.3496996870562,58783116426013.72,642.6421550305331,1.2365550587433536,5.290423993283758e-05,4.2783570014748395e-05
C7H8 + HNO3 -> C7H7NO2 + H2O,1,1,1.8969244342292673,1.111246210585726,334.48251429751247,1472.8851051218417,0.476310471646997,1,1,150.56357580439894,28586481438280.46,543.5499923382498,1.2735278426538112,0.0005128135125598,0.0004026716145375
C7H8 + HNO3 -> C7H7NO2 + H2O,1,1,1.2851314303015422,0.631184910204082,342.0158207872259,1478.2294535406238,0.2735196564919823,1,1,89.33140344507837,10385339443613.363,892.6892617111931,0.5059658306164755,0.0001167587364105,0.0002307640740645
C7H8 + HNO3 -> C7H7NO2 + H2O,1,1,1.5090918461585887,0.9381728388012454,948.8105419702608,990.530240219115,0.556059623999395,1,1,102.15849247047132,93545711950480.92,418.8400775832411,1.0562815386946585,-9.07982792560443e-05,-8.596030123583514e-05
C7H8 + HNO3 -> C7H7NO2 + H2O,1,1,0.6278825091728432,0.7440445906639637,669.326930488328,1163.473980562199,0.3993808599831651,1,1,140.30561130391897,29802894069742.863,536.4414265014475,0.9723964755923312,-1.6249503627640337e-05,-1.6710780052696116e-05
C7H8 + HNO3 -> C7H7NO2 + H2O,1,1,0.8292826086727836,0.472809737223561,741.29852529956,1019.4522164869538,0.7691972056066029,1,1,97.11946432556218,91362946990126.64,556.4851239195611,0.4609278480783952,-5.790399244836337e-06,-1.2562485145943058e-05
C7H8 + HNO3 -> C7H7NO2 + H2O,1,1,0.882320568421462,0.284126025887841,534.8103845501654,765.7323583062451,0.3932283519558311,1,1,136.55033099775142,3554669192818.4023,693.5469469090145,0.4629679088460033,1.1486332239814414e-05,2.481021258783426e-05
C7H8 + HNO3 -> C7H7NO2 + H2O,1,1,0.9625217827909336,0.8218281351658285,925.1104534588288,999.9293530154767,0.5816682547001234,1,1,32.107953731420736,7858748185733.666,671.5195958016593,1.6777174089906444,-1.2626997949320209e-05,-7.5262960744485075e-06
C7H8 + HNO3 -> C7H7NO2 + H2O,1,1,1.3486755571161182,1.297178313965282,574.2605396472632,643.5086157942513,0.3238970203452874,1,1,182.30820443640067,10016557537244.418,904.7326822121904,1.2469768548125095,0.0006193473920327,0.000496679140148
C7H8 + HNO3 -> C7H7NO2 + H2O,1,1,1.4577322531301184,0.5811661897764765,650.545643658421,1443.1610366560467,0.0179020595601044,1,1,173.8955815809414,1068083440873.4448,1142.072062343717,1.864420648067101,0.0002210482491207,0.0001185613607905
C7H8 + HNO3 -> C7H7NO2 + H2O,1,1,0.3118732034104251,1.516387372593405,772.3341289739931,1439.4597640903066,0.5171233224813833,1,1,164.6894654951829,71674513691981.61,731.5941810601527,0.8985994987977229,-3.3207080809336183e-06,-3.69542614410151e-06
C7H8 + HNO3 -> C7H7NO2 + H2O,1,1,1.3968269096575985,1.0806367099847247,339.8544698561194,698.0041574040546,0.0194192172683738,1,1,45.01921726043386,81922216622450.97,616.2088329093795,1.6931576674455464,0.0003944028049274,0.0002329392073229
C7H8 + HNO3 -> C7H7NO2 + H2O,1,1,1.7055753329036207,0.6712006643051835,938.7324900035442,1156.5550907317972,0.5946655740412903,1,1,52.94478713101475,78783187450066.56,801.1353258179528,0.3714986861101049,-3.0399275475653504e-06,-8.182875636508645e-06
C7H8 + HNO3 -> C7H7NO2 + H2O,1,1,1.7420381442969584,0.2980620778810772,539.4236879093204,920.6626984754542,0.2451433652411424,1,1,145.67202874015544,15231388637694.943,910.5066781436924,0.1094796654001428,1.1470556465371571e-05,0.0001047733971733
C7H8 + HNO3 -> C7H7NO2 + H2O,1,1,1.5415591102114492,0.6890310760615129,874.4355779982076,1427.6213487231385,0.7050800746143359,1,1,183.6705071609067,20194187979900.453,1041.5080666054612,1.0727593839546772,3.2031480197923734e-05,2.9858960617842542e-05
C7H8 + HNO3 -> C7H7NO2 + H2O,1,1,1.318063596806103,0.1604993146413859,585.1683280631037,948.484336084906,0.6803624400308312,1,1,54.61822224738455,27128444787296.77,498.97949381681224,0.2879264986421401,-8.828521184479414e-07,-3.066241289396661e-06
C7H8 + HNO3 -> C7H7NO2 + H2O,1,1,0.831685684343658,0.5805324305569455,567.1264525879077,688.8720468256539,0.239195934000383,1,1,165.3343395739357,99556534536663.02,986.0663359700036,0.3978666729271232,6.005368687835922e-05,0.0001509392240283
C7H8 + HNO3 -> C7H7NO2 + H2O,1,1,1.447933842804552,1.8017715040119968,760.3742036548413,642.1746802012833,0.5054160902731327,1,1,143.18210178953095,64697745277369.5,772.1330096127679,1.4953825885157948,1.7690690409281772e-05,1.183021023859869e-05
C7H8 + HNO3 -> C7H7NO2 + H2O,1,1,0.8828337040081471,0.376525109513028,503.8744781371688,679.5716301492366,0.4648323106397555,1,1,108.56076254259769,47486834157009.555,653.147626985715,1.1712178130423272,3.6566646534759536e-05,3.1221047125107234e-05
C7H8 + HNO3 -> C7H7NO2 + H2O,1,1,0.1936870755086668,0.5630625511182998,943.7631599612516,1002.0316541497804,0.960475038133386,1,1,43.94261534398634,77365243002081.73,700.0655952187644,1.945263374159071,-2.5454542973503453e-06,-1.3085396718841398e-06
C7H8 + HNO3 -> C7H7NO2 + H2O,1,1,1.635954961421276,0.7550951644436193,868.91103460211,905.0040811307724,0.4309624235740085,1,1,97.21641938269052,59076161254236.555,628.0270264660908,0.9731160023492024,-4.119875329837108e-05,-4.233693947989041e-05
C7H8 + HNO3 -> C7H7NO2 + H2O,1,1,0.5434529119704412,0.7821429717111635,968.0278259751484,975.0786493439508,0.4151400316608353,1,1,173.49764743814353,43917054813718.516,967.1082792490256,1.9645840811409137,-1.458044406334984e-07,-7.421644206178431e-08
C7H8 + HNO3 -> C7H7NO2 + H2O,1,1,0.1346419070850871,0.8249913368684838,560.5810493263266,1175.5517116323444,0.6238911203447552,1,1,81.97062775451452,36496499587746.016,783.2183967978646,0.1807439450409636,9.918160168468367e-07,5.487409365896338e-06
C7H8 + HNO3 -> C7H7NO2 + H2O,1,1,0.8027883887314372,1.9727654437465632,672.8285502487022,966.2649344871118,0.6471907418113705,1,1,67.13544113678688,60974076166873.58,441.5987505553752,1.6826843520817398,-9.457357311315012e-05,-5.620398917726192e-05
C7H8 + HNO3 -> C7H7NO2 + H2O,1,1,0.9362897381052424,0.2894888474533765,331.680819709386,629.6856544091423,0.4615855804884157,1,1,106.19202390680006,46672726649450.31,1061.3014281697697,1.2124654236627068,0.0003675665129419,0.0003031562845161
C7H8 + HNO3 -> C7H7NO2 + H2O,1,1,0.4785174030904453,1.091980950138099,585.8053756524512,839.7418610675205,0.2661726847525862,1,1,160.18005582275387,20218859243164.535,543.5976576426485,0.9533394831879998,-1.168713830854579e-05,-1.2259156905432678e-05
C7H8 + HNO3 -> C7H7NO2 + H2O,1,1,0.9633169356639256,1.4191220182281397,968.7006296946468,1425.6005281316154,0.1716995596299922,1,1,165.40181468058478,18373307917518.57,480.1532816004018,0.4559363047969693,-3.7649830689757064e-05,-8.257695273141874e-05
C7H8 + HNO3 -> C7H7NO2 + H2O,1,1,1.870332066922351,1.8297810701984203,566.9713641514961,1220.6555842060238,0.3797909826167775,1,1,158.0120972516636,75345014348964.33,624.7794700125364,0.9090038487602896,7.241812190632355e-05,7.966756356982231e-05
C7H8 + HNO3 -> C7H7NO2 + H2O,1,1,0.4528928368098527,0.517856641274811,921.679558626264,1266.9970173169963,0.6440685178101128,1,1,126.2732153698569,72310960608559.75,451.1890420695538,1.2917190029092442,-1.672244053017313e-05,-1.2945881025602628e-05
C7H8 + HNO3 -> C7H7NO2 + H2O,1,1,1.3320826581104503,0.8573950271237425,432.635734066862,908.4463611242088,0.1358409322431958,1,1,114.61298696845496,28350391567948.95,935.8469800839092,1.9168430533626517,0.0007425723848054,0.0003873934193531
C7H8 + HNO3 -> C7H7NO2 + H2O,1,1,1.8738692178866787,1.9904049736316891,865.3364020512581,741.5867345651432,0.6592413608650799,1,1,36.41340096383464,45519874273983.74,443.75514377434337,0.7251673397273951,-7.477038222371949e-05,-0.0001031077630327
C7H8 + HNO3 -> C7H7NO2 + H2O,1,1,0.7827440819799957,1.9324726097310736,829.4971754234757,743.522410788742,0.3695494136924087,1,1,97.65425021034976,23477013731836.336,699.723140486,0.7864293446574102,-2.9467814113993817e-05,-3.7470389824823726e-05
C7H8 + HNO3 -> C7H7NO2 + H2O,1,1,1.0855318893231305,1.6725908736867268,923.0582186827306,627.7278066882955,0.6108172144397982,1,1,193.7089514105384,22531295489252.227,714.6495656260171,1.2618511431513093,-0.0001729323794479,-0.0001370465766794
C7H8 + HNO3 -> C7H7NO2 + H2O,1,1,1.169108636002386,1.4008760920901373,346.1395526927446,765.9773941146065,0.2663099264384079,1,1,42.185856417855824,49939063009771.4,1163.0271956250242,0.511527610609562,0.0003145824281993,0.0006149862132065
C7H8 + HNO3 -> C7H7NO2 + H2O,1,1,1.0264928383677006,0.291688724001132,924.3492346882392,787.023487051787,0.7741732031383106,1,1,148.54017700023618,36181574143113.586,665.3216973558757,0.3854509346144334,-6.603507508178824e-06,-1.7131901664175008e-05
C7H8 + HNO3 -> C7H7NO2 + H2O,1,1,1.1497518380749894,0.8365538110617182,642.8501846428865,1464.8783630157598,0.8568728098509149,1,1,51.84311923920339,64844012999462.55,1098.2225382686763,0.852171877275048,3.196405478427835e-05,3.7508929403406734e-05
C7H8 + HNO3 -> C7H7NO2 + H2O,1,1,0.6718307771989509,0.6384556196841282,510.6828607872864,1146.491342429429,0.6325794777393104,1,1,148.33234593856096,19631383942714.59,1108.7340839958745,0.2348917422899329,2.989229518343597e-05,0.0001272598810499
C7H8 + HNO3 -> C7H7NO2 + H2O,1,1,0.6223017506884667,1.7006185240858491,709.5294337013197,1043.0944351662406,0.2752054621065725,1,1,112.68195114216483,43646163359024.4,792.5652313785125,0.3204937956490188,6.043420511435637e-06,1.885659127721132e-05
C7H8 + HNO3 -> C7H7NO2 + H2O,1,1,1.1338063854849902,0.2451473019110808,321.28203075505445,897.8300770502349,0.647890821226988,1,1,57.47096611565835,22497902923036.85,586.1830487609188,0.1249069687330422,5.703189313907374e-06,4.565949659779619e-05
C7H8 + HNO3 -> C7H7NO2 + H2O,1,1,1.5355471632317923,1.0726140304122855,879.9859859255289,957.5435866577905,0.2507107282191792,1,1,119.9018938834762,50067359173598.44,408.70409025505865,1.6139901480072958,-0.0002025835833695,-0.000125517236657
C7H8 + HNO3 -> C7H7NO2 + H2O,1,1,1.3227976208733974,1.5812564208306836,828.0989204119496,1261.5347787458304,0.6358784050101501,1,1,83.3407785258085,17867542413400.992,915.4189970967892,1.3747803411536657,2.4190063985507014e-05,1.759558473552771e-05
C7H8 + HNO3 -> C7H7NO2 + H2O,1,1,1.878638585926256,1.5356546556534163,728.2960384722101,1251.161266280354,0.2876324489469044,1,1,164.44145148144017,9616655297201.896,618.4736770044844,1.562855406980388,-0.0001226954596097,-7.850723685743534e-05
C7H8 + HNO3 -> C7H7NO2 + H2O,1,1,0.7558651961389999,0.2033792427253381,858.3927512098379,1309.1265234733075,0.5743844564264037,1,1,123.77123030225684,39378919726322.45,971.5241501833444,0.6550635378357692,1.4617852033940308e-06,2.2315166681747366e-06
C7H8 + HNO3 -> C7H7NO2 + H2O,1,1,1.560088811761854,1.2003378518873324,712.4280948284439,1116.277318536042,0.9304326799073842,1,1,102.15235342768538,64393684454318.67,1082.5821414449924,1.0922725897426733,0.0001365087724835,0.0001249768361537
C7H8 + HNO3 -> C7H7NO2 + H2O,1,1,1.8315494508111765,0.1724500667737981,696.2379092602372,1426.2166865127108,0.8662018926831758,1,1,154.20954588128225,89523724659222.16,528.7660812266984,0.1562725956008936,-1.8438136016354544e-06,-1.179870081856445e-05
C7H8 + HNO3 -> C7H7NO2 + H2O,1,1,1.9977065780497436,1.795771696278888,631.740325281415,1487.3224972442756,0.4664230302055703,1,1,61.2174118365101,43779775759642.74,946.7405925333916,0.850230461388517,9.908844716701048e-05,0.0001165430452882
C7H8 + HNO3 -> C7H7NO2 + H2O,1,1,1.8527488242368615,0.2842076459907579,721.8313938542836,1278.4834079310465,0.3928212865617141,1,1,197.2596613638796,62300954054292.14,1029.7715841229558,1.7246727651558094,8.281271766822501e-05,4.801648135305459e-05
C7H8 + HNO3 -> C7H7NO2 + H2O,1,1,0.6963634437726939,0.3759424512450532,486.41862091858223,1363.9858991301735,0.925651694842928,1,1,99.96460231996392,8265860423543.616,1134.6929204697972,1.2536421037192509,6.590307592667319e-05,5.2569290494595546e-05
C7H8 + HNO3 -> C7H7NO2 + H2O,1,1,0.3880306421201888,0.812577326656399,832.1898703819836,720.4639106222655,0.8869826920600985,1,1,184.4596161179084,49160422788055.26,1197.2407004828551,0.6189976288085755,2.6340090773674796e-05,4.2552813690697424e-05
C7H8 + HNO3 -> C7H7NO2 + H2O,1,1,1.971230965248704,1.086960256383357,647.3441159650057,769.555790944773,0.4051537535022478,1,1,128.97910946510308,3954765744363.463,1121.417852610074,1.4748448737904691,0.0005991730493357,0.0004062617431729
C7H8 + HNO3 -> C7H7NO2 + H2O,1,1,0.1766179554698063,1.3543571952459308,431.37644402468425,1487.0290567933512,0.1982863125935612,1,1,134.90737596070494,95401228915155.7,1067.013494009651,1.2162196626682424,9.01555950705166e-05,7.412772366525125e-05
C7H8 + HNO3 -> C7H7NO2 + H2O,1,1,1.87997650471704,1.898471301659613,784.473778469742,835.6736575639844,0.2008319597972019,1,1,155.20404567125388,45153951903400.71,996.1558461270006,0.1972482124951144,4.497416050254126e-05,0.0002280079496469
C7H8 + HNO3 -> C7H7NO2 + H2O,1,1,0.7682486541217357,1.196684248639319,570.6883969631838,1252.9949461868168,0.7011744431726022,1,1,49.083409137355325,87985474179504.42,1091.9392272483524,0.803054103968506,4.628713102403884e-05,5.7638869903408285e-05
C7H8 + HNO3 -> C7H7NO2 + H2O,1,1,0.2327376493008572,1.4340157453262024,862.2021483102812,782.6328532978035,0.1708662465353798,1,1,187.75933474515512,89258714999400.92,787.5324529027622,0.4861456606208827,-3.909818692092697e-06,-8.0424839894678e-06
C7H8 + HNO3 -> C7H7NO2 + H2O,1,1,1.9304494250057456,0.8604162815237413,821.1970366472215,698.540737576701,0.3881477586482246,1,1,120.49323397917068,46518010646867.5,1007.740553918574,1.9050211235610688,0.0001509813068555,7.925440037814285e-05
C7H8 + HNO3 -> C7H7NO2 + H2O,1,1,1.193544064879096,1.0189357204346567,858.944239387138,600.6214270338444,0.5245869104063192,1,1,163.70184123522162,41897005455656.3,613.832419735423,0.439406169671577,-4.838808662004131e-05,-0.0001101215457584
C7H8 + HNO3 -> C7H7NO2 + H2O,1,1,0.4332054293845542,0.5244838353662875,856.4256247945483,1101.3233212888342,0.6858650407135536,1,1,98.63455893580272,24681955598254.777,921.0887130789166,1.7750499599365188,3.1844027261943656e-06,1.7939792107644393e-06
C7H8 + HNO3 -> C7H7NO2 + H2O,1,1,1.0468327537590507,0.7062811457586772,454.39765154585984,705.2643436615335,0.1822116281817577,1,1,49.695890702945384,20273851312976.54,511.6801678669681,0.3758504728123736,5.432359451602208e-06,1.445351235280757e-05
C7H8 + HNO3 -> C7H7NO2 + H2O,1,1,1.146260420937618,1.7641828705972074,980.550255662389,934.2674977763722,0.4201533999579581,1,1,107.6060176784329,90431593012197.88,767.7176794103752,0.6371270112633345,-3.284858161908289e-05,-5.1557352048139834e-05
C7H8 + HNO3 -> C7H7NO2 + H2O,1,1,0.8000529478414999,1.480807073935707,702.0485492127145,600.7331555778794,0.3914278277240065,1,1,165.6001447074543,56301656115371.875,1016.9828199473252,1.49372167144366,0.0003117106437418,0.0002086805391533
C7H8 + HNO3 -> C7H7NO2 + H2O,1,1,0.7659890151437074,1.3041979971355042,598.2035555914409,1169.1915463724597,0.0879323954616102,1,1,80.1849692352062,45864145347243.16,793.6971082730141,0.7706067115571398,2.884301241597274e-05,3.7428966012624786e-05
C7H8 + HNO3 -> C7H7NO2 + H2O,1,1,1.821565414914395,1.9630265776595728,507.6876883396603,886.8526619444839,0.3462503915936733,1,1,48.00053231736993,35151897302653.688,706.1454135046945,1.3053652832043494,0.0001945236164549,0.0001490185306426
C7H8 + HNO3 -> C7H7NO2 + H2O,1,1,1.0981849154570462,0.4888417063280212,356.9466609061035,717.8842438739046,0.9764975787554344,1,1,118.95371396636766,40492924501154.984,563.4575336327732,1.805122557284511,0.0002602617094224,0.0001441795230867
C7H8 + HNO3 -> C7H7NO2 + H2O,1,1,1.0573887139034197,1.44590869244318,736.2788674248444,604.8171337777698,0.8453357213984488,1,1,109.64881424321328,42777525305679.766,761.1255089221322,0.9255558483203542,1.1758205466914915e-05,1.2703939463245833e-05
C7H8 + HNO3 -> C7H7NO2 + H2O,1,1,0.6312427220257505,0.9338108384515914,751.3325006589615,1130.6851151100138,0.0901909398883161,1,1,195.84755896031936,37924761738454.49,601.9508568110025,1.7520958417146129,-4.7339375453763486e-05,-2.7018713432615e-05
C7H8 + HNO3 -> C7H7NO2 + H2O,1,1,1.8123924948134704,1.2742423294948737,793.9218313600898,1378.2174237406173,0.6042783705089279,1,1,187.08412441706704,40917769571830.41,766.1026980741815,1.2623139931918104,-1.7465418066824265e-05,-1.3836033000523324e-05
C7H8 + HNO3 -> C7H7NO2 + H2O,1,1,1.0428170110308563,1.8379127569456408,635.5488973201706,1211.0844956233104,0.4344256611730583,1,1,42.022170723134415,69013877991342.73,921.4997762670328,1.161255830693099,5.4671179299907135e-05,4.7079358273083104e-05
C7H8 + HNO3 -> C7H7NO2 + H2O,1,1,1.557657748969141,1.2388205222960933,972.0749274179934,872.07498274242,0.8579583264588845,1,1,173.41890476747733,265759658241.85013,683.8556733608335,0.2613503041409265,-3.058930140829855e-05,-0.0001170432975345
C7H8 + HNO3 -> C7H7NO2 + H2O,1,1,0.9408364781480164,0.5587820335785105,792.0446986433776,1427.1257862510972,0.6897470145089891,1,1,101.77080308887814,42884672862079.21,562.3419232192631,1.5264264556006923,-2.0953678395392163e-05,-1.3727276750550224e-05
C7H8 + HNO3 -> C7H7NO2 + H2O,1,1,0.981565226517086,0.2610429992231115,616.6988205266939,679.6390771794779,0.7080808935017058,1,1,110.94563998390352,86484088487292.75,761.3859995892886,1.1823701511637077,1.881483371549935e-05,1.5912811818685958e-05
C7H8 + HNO3 -> C7H7NO2 + H2O,1,1,1.727786898361205,1.4571005793615126,865.3267893245028,762.9107218144911,0.8675008660696865,1,1,101.17083675366356,71392543281219.17,570.8278896826278,0.1591688220431996,-2.089982796765888e-05,-0.0001313060415939
C7H8 + HNO3 -> C7H7NO2 + H2O,1,1,0.8479955833821643,0.7863744196898489,623.9895799240297,1142.5327047252397,0.5325768371912839,1,1,67.68736260334106,29729497485339.82,864.2790024146984,1.5844517933597613,3.8629663865437265e-05,2.438046018650068e-05
C7H8 + HNO3 -> C7H7NO2 + H2O,1,1,0.9405481074215678,1.262302021100696,602.9083931534077,1057.8445265550915,0.0123661896895502,1,1,65.57069834251504,35974592506864.15,499.2427098632032,0.499225548055163,-1.047759035348174e-05,-2.0987688619501493e-05
C7H8 + HNO3 -> C7H7NO2 + H2O,1,1,0.1637116259979808,1.6110453851147228,552.1916038131075,1285.0927715864746,0.3543640076157726,1,1,98.24968429788298,15932447660783.5,986.5370010279188,1.6519115203323953,4.7448926130974696e-05,2.8723648662143295e-05
C7H8 + HNO3 -> C7H7NO2 + H2O,1,1,1.7300763365949243,1.4079537393611257,867.6938911386675,1204.3457297624318,0.8148218889949557,1,1,144.2207470910885,82645590512171.16,1132.6667057931022,1.875965412499785,0.0001925853653005,0.0001026593369031
C7H8 + HNO3 -> C7H7NO2 + H2O,1,1,0.6845902700081022,0.4896781320748589,389.1908631610874,1427.4070302821845,0.3743029545433766,1,1,82.53546406370788,33841996270953.824,822.7780064867419,0.3045940311022196,1.6900778532338204e-05,5.5486243348827875e-05
C7H8 + HNO3 -> C7H7NO2 + H2O,1,1,1.9545488316977857,0.770331417605221,385.3821040118166,1139.2790348555138,0.3645456050381959,1,1,106.84772478766868,90552965328621.44,704.4959486516524,0.4709982330304625,0.000142902934261,0.0003034043956845
C7H8 + HNO3 -> C7H7NO2 + H2O,1,1,0.262276117335704,1.5154338770756972,330.7993213908174,777.0712208581073,0.926610003977902,1,1,44.62762404414761,35354321735454.29,862.9995612417792,1.117443999487885,0.0001240538628241,0.0001110157313305
C7H8 + HNO3 -> C7H7NO2 + H2O,1,1,1.9602993822287935,1.266659277052436,954.93354943006,1049.848037282699,0.9177070891048088,1,1,185.6492772244024,72528532204938.03,738.4415384176231,1.5034910531844776,-0.0001567275891107,-0.0001042424487853
C7H8 + HNO3 -> C7H7NO2 + H2O,1,1,0.437114661992443,1.6372961119637874,660.9493071805477,1004.8895850799636,0.8950289003326932,1,1,73.57712254382128,383054168663.5237,441.31853987105944,0.5799087273978032,-1.527789704924462e-05,-2.6345347685661497e-05
C7H8 + HNO3 -> C7H7NO2 + H2O,1,1,0.6761171387653232,1.5181959855009437,748.813894091624,1354.786258451368,0.6623776417283822,1,1,32.55545171890039,95437052177901.44,641.6193092550425,0.8914250307063772,-4.20351507776885e-06,-4.715500387551298e-06
C7H8 + HNO3 -> C7H7NO2 + H2O,1,1,1.8006267735788068,1.9614692225622403,961.6626274087084,1015.9426043154228,0.6032683762127101,1,1,59.087041514654224,66257219357351.12,967.388856863715,0.7098229892297337,9.028208990970142e-07,1.2718958286723184e-06
C7H8 + HNO3 -> C7H7NO2 + H2O,1,1,1.5272382908359945,1.3534899112954384,563.8649378164727,1419.6378597679372,0.8386371168707978,1,1,182.16245675060225,79224099868081.05,597.4639041669711,0.4200306276185717,1.1773343758270852e-05,2.8029726844020012e-05
